Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID;;;;;;;;;;;;;;;;
"Yu, X., Xing, S., Yang, Y.,""59483162900";55584305000;59138549900;",The relationship between psychological capital and athlete burnout: the mediating relationship of coping strategies and the moderating relationship of perceived stress"",2025,""BMC Psychology"",""13"",""1"",""64"","""","""",,,""10.1186/s40359-025-02379-8"",""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216717704&doi=10.1186%2fs40359-025-02379-8&partnerID=40&md5=a6a301f57aa70758a9c1b6c71b9a512a"",Article,""Final"","""",Scopus,2-s2.0-85216717704";;;;;;;;;;;;;
"Molodozhnikov, I.A., Guseinov, A.S.,""59417202800";59417336900;",Agentic Self-regulation of Capoeira Athletes of Different Sports Qualifications"",2024,""Psychology in Russia: State of the Art"",""17"",""3"",,""82"",""96"",,1,""10.11621/pir.2024.0306"",""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85209643375&doi=10.11621%2fpir.2024.0306&partnerID=40&md5=6d1df4e40ee55a9e79b512695287b412"",Article,""Final"",""All Open Access, Gold"",Scopus,2-s2.0-85209643375";;;;;;;;;;;;;;
"Ríos-Garit, J., Cañizares-Hernández, M., Reyes-Bossio, M., Pérez-Surita, Y., Touset-Riverí, R.,""57221953146";57194064682;57191950930;57221952434;59416812200;",Competitive Anxiety and Mood States in High-Performance Cuban Student Athletes"",2024,""Psychology in Russia: State of the Art"",""17"",""3"",,""50"",""62"",,,""10.11621/pir.2024.0304"",""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85209625850&doi=10.11621%2fpir.2024.0304&partnerID=40&md5=e2d918c8f3aa9317d76fba4a6fc73016"",Article,""Final"",""All Open Access, Gold"",Scopus,2-s2.0-85209625850";;;;;;;;;;;
"Lefèvre, B., Kasano, H., Nier, O., Kato, T., Yabe, T., Kajihara, H., Shibata, H., Koyama, S., Iizuka, S., Endo, T.,""16637803000";7007153488;55796330700;59414044500;59414044600;59414330800;59413615000;57584116200;59380815600;59380658700;",Sociodemographic and geographic determinants of physical activity and sport in Japan: an initial modeling study [Les déterminants sociodémographiques et géographiques de la pratique physique et sportive au Japon: une première modélisation]"",2024,""Movement and Sports Sciences - Science et Motricite"",,""126"",,""57"",""74"",,,""10.1051/sm/2024023"",""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85209363997&doi=10.1051%2fsm%2f2024023&partnerID=40&md5=26b3a98b17f92115dcbe1171d46985e2"",Article,""Final"","""",Scopus,2-s2.0-85209363997";;;;;;
"Daubresse, A., Meignie, A., Antero, J., Hanon, C., Mériaux-Scoffier, S.,""59367241100";56221708300;55928570200;6603144685;58491826400;",Dysfunctional eating attitudes and behaviors among French elite athletes: the impact of psychological characteristics and the sporting calendar"",2024,""Frontiers in Psychology"",""15"",,""1423772"","""","""",,,""10.3389/fpsyg.2024.1423772"",""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206381156&doi=10.3389%2ffpsyg.2024.1423772&partnerID=40&md5=57fd2f5c232aa603a7150ab0b494a6b5"",Article,""Final"",""All Open Access, Gold"",Scopus,2-s2.0-85206381156";;;;;;;;;;;
"Dinç, A., Altunhan, A., Tazegül, Ü.,""57205608568";59357711600;56032804800;",Relationship between Digital Stress and Career Stress Levels of Sports Science Students"",2024,""Revista de Psicologia del Deporte"",""33"",""3"",,""314"",""322"",,,,""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205780829&partnerID=40&md5=8e67da0447190c79e7f480f7a29c4685"",Article,""Final"","""",Scopus,2-s2.0-85205780829";;;;;;;;;;;;;
"Luo, T., Mai, H., Yu, S., Wang, H., Su, W.,""59349775300";58546446400;58546017700;58546162000;58545740500;",The Impact of Physical Exercise on Prosocial Behaviour among College Students on Pro-Social Behaviour"",2024,""Revista de Psicologia del Deporte"",""33"",""3"",,""323"",""333"",,,,""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205344291&partnerID=40&md5=2004bee5ba440232a1cde0e74b25a56c"",Article,""Final"","""",Scopus,2-s2.0-85205344291";;;;;;;;;;;
"Piepiora, P.A., Čaplová, P., Zimoń, P., Gumienna, R.,""57189040302";57217312576;59340839200;57433416600;",On research into the relationship between personality traits and the sporting level of competitive, professional and elite athletes"",2024,""Frontiers in Psychology"",""15"",,""1428107"","""","""",,4,""10.3389/fpsyg.2024.1428107"",""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204783255&doi=10.3389%2ffpsyg.2024.1428107&partnerID=40&md5=a378bf84699cc1b111c22b51caf83954"",Article,""Final"",""All Open Access, Gold"",Scopus,2-s2.0-85204783255";;;;;;;;;;;;
"Fang, Q., Zhang, J.,""59339845000";58701873800;",Dissecting the causal relationship between moderate to vigorous physical activity levels and cognitive performance: a bidirectional two-sample Mendelian randomization study"",2024,""Frontiers in Psychology"",""15"",,""1368241"","""","""",,,""10.3389/fpsyg.2024.1368241"",""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204729669&doi=10.3389%2ffpsyg.2024.1368241&partnerID=40&md5=8c661149d1165891e2b2843978c135ae"",Article,""Final"",""All Open Access, Gold"",Scopus,2-s2.0-85204729669";;;;;;;;;;;;;;
"Hrušová, D., Chaloupský, D., Chaloupská, P., Hruša, P.,""54782793400";54414007200;54414005900;55675943300;",Blended learning in physical education: application and motivation"",2024,""Frontiers in Psychology"",""15"",,""1380041"","""","""",,,""10.3389/fpsyg.2024.1380041"",""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203680412&doi=10.3389%2ffpsyg.2024.1380041&partnerID=40&md5=7fd96caf2a3b5a81dd1e590356d7dafb"",Article,""Final"",""All Open Access, Gold"",Scopus,2-s2.0-85203680412";;;;;;;;;;;;
"Carin, Y., Hamonier, J., Sallé, L.,""57217942887";55225700700;26664998200;",The socio-economic models of associations: the case of amateur sport clubs in Hauts-de France [Les modèles socio-économiques des associations: le cas des associations sportives des hauts de France]"",2024,""Movement and Sports Sciences - Science et Motricite"",,""126"",,""17"",""32"",,,""10.1051/sm/2024018"",""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203133995&doi=10.1051%2fsm%2f2024018&partnerID=40&md5=21cb28aea07640d1a65c10c604a81db6"",Article,""Final"","""",Scopus,2-s2.0-85203133995";;;;;;;;;;;;;
"Yu, Q., Bo, L.,""58130885500";59297259700;",Influence of body movements of sports model on the advertising effect of sports clothing print network in the internet context"",2024,""Current Psychology"",,,,"""","""",,,""10.1007/s12144-024-06501-8"",""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201928239&doi=10.1007%2fs12144-024-06501-8&partnerID=40&md5=1ee7a141a228fabac2c3f54844f57ccf"",Article,""Article in Press"","""",Scopus,2-s2.0-85201928239";;;;;;;;;;;;;;
